iter	MultiClass
0	1.035971783
1	1.004720548
2	0.9815650596
3	0.9719178354
4	0.9547577644
5	0.9433397871
6	0.9223938741
7	0.9063363992
8	0.885497649
9	0.865300008
10	0.8506668339
11	0.8405541777
12	0.8275605567
13	0.814794308
14	0.8013510248
15	0.7917642593
16	0.7782084372
17	0.7621901686
18	0.7454026773
19	0.7315867147
20	0.7200268224
21	0.7090656085
22	0.6993369846
23	0.6893037182
24	0.6742724723
25	0.6609178961
26	0.6466787458
27	0.6371519208
28	0.6298871808
29	0.6206788514
30	0.6125061945
31	0.6009090953
32	0.5940651283
33	0.5815863177
34	0.5768824043
35	0.571510502
36	0.5629224597
37	0.5582267519
38	0.551666299
39	0.5423607126
40	0.5314777852
41	0.5266864152
42	0.5205597679
43	0.5136852424
44	0.5070162335
45	0.5000265438
46	0.492164691
47	0.4836872375
48	0.4765293677
49	0.4716305026
50	0.4673754474
51	0.4635284663
52	0.4566724709
53	0.4521223781
54	0.4467749275
55	0.4414249537
56	0.4351215312
57	0.4314671114
58	0.4258211478
59	0.422363671
60	0.4183599018
61	0.4149906487
62	0.4112386834
63	0.4059505379
64	0.4009450698
65	0.3975496761
66	0.3929383014
67	0.3893147532
68	0.383348626
69	0.379487284
70	0.3740791109
71	0.3708895239
72	0.3665552059
73	0.3639048664
74	0.3615616208
75	0.3587608141
76	0.3554198965
77	0.3507932636
78	0.3473697895
79	0.3427779181
80	0.3400990269
81	0.338152838
82	0.3352070153
83	0.3331370325
84	0.3290039517
85	0.3243920018
86	0.3226344335
87	0.3200396355
88	0.3175607547
89	0.3142599287
90	0.3111827018
91	0.308609943
92	0.3054209371
93	0.3029741576
94	0.3010784282
95	0.2992483842
96	0.2951969701
97	0.2916518719
98	0.2897649977
99	0.286195339
