iter	Passed	Remaining
0	3	391
1	7	350
2	10	333
3	11	264
4	14	268
5	16	262
6	19	252
7	21	242
8	22	230
9	24	221
10	26	212
11	27	203
12	29	196
13	30	188
14	31	180
15	33	174
16	34	168
17	35	162
18	36	157
19	38	152
20	39	147
21	40	143
22	41	139
23	42	135
24	43	131
25	45	128
26	46	125
27	47	122
28	48	119
29	49	116
30	51	113
31	52	111
32	53	108
33	54	105
34	55	103
35	57	101
36	58	99
37	59	96
38	60	94
39	61	92
40	62	90
41	64	88
42	65	86
43	66	84
44	67	82
45	68	80
46	69	78
47	71	77
48	72	75
49	73	73
50	74	72
51	76	70
52	77	68
53	78	66
54	79	65
55	80	63
56	82	61
57	83	60
58	84	58
59	85	57
60	87	55
61	88	54
62	89	52
63	90	50
64	91	49
65	92	47
66	94	46
67	95	44
68	96	43
69	97	41
70	98	40
71	100	38
72	101	37
73	102	35
74	103	34
75	104	33
76	105	31
77	107	30
78	108	28
79	109	27
80	110	25
81	111	24
82	112	23
83	114	21
84	115	20
85	116	18
86	117	17
87	118	16
88	120	14
89	121	13
90	122	12
91	123	10
92	124	9
93	125	8
94	127	6
95	128	5
96	129	4
97	130	2
98	131	1
99	132	0
